pair,base_bar,signal_bar,float_pct,tp_pct,sl_pct,initial,final,total_return_pct,trades,wins,losses,win_rate_pct,max_dd_pct,profit_factor,monthly_pct,n_signals,y2024_end,y2024_pnl_pct,y2025_end,y2025_pnl_pct,y2026_end,y2026_pnl_pct
SOL-USDT-SWAP,30m,4H,0.0015,0.008,0.015,140.0,610.983,336.416,1095,696,399,63.562,67.496,1.044,13.806,4388,487.11,247.93,875.65,79.77,610.98,-30.23
SOL-USDT-SWAP,30m,4H,0.0015,0.008,0.02,140.0,2546.962,1719.258,1095,717,378,65.479,69.211,1.08,70.558,4388,696.37,397.41,2203.26,216.39,2546.96,15.6
SOL-USDT-SWAP,30m,4H,0.0015,0.01,0.005,140.0,0.293,-99.791,1095,438,657,40.0,99.801,0.729,-4.095,4388,44.95,-67.9,2.32,-94.83,0.29,-87.41
SOL-USDT-SWAP,30m,4H,0.0015,0.01,0.008,140.0,4.538,-96.759,1095,538,557,49.132,97.561,0.862,-3.971,4388,95.86,-31.53,10.71,-88.83,4.54,-57.63
SOL-USDT-SWAP,30m,4H,0.0015,0.01,0.01,140.0,9.464,-93.24,1095,572,523,52.237,95.562,0.914,-3.827,4388,141.76,1.26,28.57,-79.84,9.46,-66.88
SOL-USDT-SWAP,30m,4H,0.0015,0.01,0.015,140.0,80.406,-42.567,1095,614,481,56.073,84.666,0.989,-1.747,4388,430.03,207.16,216.86,-49.57,80.41,-62.92
SOL-USDT-SWAP,30m,4H,0.0015,0.01,0.02,140.0,598.807,327.72,1095,638,457,58.265,77.694,1.029,13.45,4388,684.99,389.28,826.16,20.61,598.81,-27.52
SOL-USDT-SWAP,30m,4H,0.0015,0.015,0.005,140.0,0.006,-99.996,1095,336,759,30.685,99.996,0.565,-4.104,4388,11.15,-92.03,0.11,-98.98,0.01,-94.63
SOL-USDT-SWAP,30m,4H,0.0015,0.015,0.008,140.0,0.052,-99.963,1095,427,668,38.995,99.968,0.694,-4.102,4388,19.58,-86.02,0.42,-97.86,0.05,-87.53
SOL-USDT-SWAP,30m,4H,0.0015,0.015,0.01,140.0,0.1,-99.929,1095,460,635,42.009,99.937,0.745,-4.101,4388,31.33,-77.62,1.08,-96.55,0.1,-90.77
SOL-USDT-SWAP,30m,4H,0.0015,0.015,0.015,140.0,0.343,-99.755,1095,496,599,45.297,99.769,0.819,-4.094,4388,63.78,-54.45,4.23,-93.37,0.34,-91.88
SOL-USDT-SWAP,30m,4H,0.0015,0.015,0.02,140.0,1.195,-99.146,1095,515,580,47.032,99.237,0.875,-4.069,4388,92.74,-33.76,9.29,-89.99,1.19,-87.13
SOL-USDT-SWAP,30m,4H,0.0015,0.02,0.005,140.0,0.0,-100.0,1095,296,799,27.032,100.0,0.443,-4.104,4388,3.51,-97.5,0.01,-99.61,0.0,-96.66
SOL-USDT-SWAP,30m,4H,0.0015,0.02,0.008,140.0,0.001,-99.999,1095,374,721,34.155,99.999,0.575,-4.104,4388,3.95,-97.18,0.02,-99.53,0.0,-94.5
SOL-USDT-SWAP,30m,4H,0.0015,0.02,0.01,140.0,0.001,-99.999,1095,404,691,36.895,99.999,0.605,-4.104,4388,7.21,-94.85,0.04,-99.45,0.0,-96.31
SOL-USDT-SWAP,30m,4H,0.0015,0.02,0.015,140.0,0.004,-99.997,1095,438,657,40.0,99.997,0.638,-4.104,4388,12.36,-91.17,0.13,-98.91,0.0,-97.28
SOL-USDT-SWAP,30m,4H,0.0015,0.02,0.02,140.0,0.018,-99.987,1095,458,637,41.826,99.987,0.699,-4.103,4388,19.85,-85.82,0.36,-98.19,0.02,-94.93
SOL-USDT-SWAP,30m,4H,0.0015,0.03,0.005,140.0,0.0,-100.0,1095,278,817,25.388,100.0,0.525,-4.104,4388,3.26,-97.67,0.01,-99.78,0.0,-97.67
SOL-USDT-SWAP,30m,4H,0.0015,0.03,0.008,140.0,0.0,-100.0,1095,349,746,31.872,100.0,0.658,-4.104,4388,4.24,-96.97,0.0,-99.9,0.0,-97.02
SOL-USDT-SWAP,30m,4H,0.0015,0.03,0.01,140.0,0.0,-100.0,1095,381,714,34.795,100.0,0.68,-4.104,4388,7.54,-94.62,0.01,-99.83,0.0,-98.17
SOL-USDT-SWAP,30m,4H,0.0015,0.03,0.015,140.0,0.0,-100.0,1095,413,682,37.717,100.0,0.678,-4.104,4388,9.77,-93.02,0.03,-99.67,0.0,-98.6
SOL-USDT-SWAP,30m,4H,0.0015,0.03,0.02,140.0,0.001,-99.999,1095,431,664,39.361,99.999,0.69,-4.104,4388,12.28,-91.23,0.05,-99.57,0.0,-97.57
SOL-USDT-SWAP,30m,4H,0.002,0.006,0.005,140.0,4.546,-96.753,1042,593,449,56.91,97.158,0.75,-3.971,4388,55.02,-60.7,10.0,-81.82,4.55,-54.55
SOL-USDT-SWAP,30m,4H,0.002,0.006,0.008,140.0,81.27,-41.95,1042,705,337,67.658,69.16,0.953,-1.722,4388,134.06,-4.24,61.59,-54.06,81.27,31.94
SOL-USDT-SWAP,30m,4H,0.002,0.006,0.01,140.0,367.467,162.477,1042,746,296,71.593,52.103,1.079,6.668,4388,210.38,50.27,251.64,19.61,367.47,46.03
SOL-USDT-SWAP,30m,4H,0.002,0.006,0.015,140.0,9082.378,6387.413,1042,801,241,76.871,46.09,1.286,262.137,4388,564.91,303.51,4659.74,724.86,9082.38,94.91
