pair,mode,signal_bar,float_pct,tp_pct,sl_pct,confirm,min_amp,max_amp,initial,final,total_return_pct,trades,wins,losses,win_rate_pct,max_dd_pct,profit_factor,monthly_pct,n_signals,y2024_end,y2024_pnl_pct,y2025_end,y2025_pnl_pct,y2026_end,y2026_pnl_pct
BTC-USDT-SWAP,reversal,4H,0.002,0.006,0.025,1,0.0,10.0,148.0,0.0,-100.0,2039,1201,838,58.9,100.0,0.929,-4.104,4388,34.64,-76.6,0.0,-100.0,0.0,-98.69
BTC-USDT-SWAP,reversal,4H,0.002,0.006,0.03,1,0.0,10.0,148.0,0.0,-100.0,2039,1206,833,59.15,100.0,0.944,-4.104,4388,65.35,-55.84,0.0,-100.0,0.0,-98.22
BTC-USDT-SWAP,reversal,4H,0.002,0.008,0.01,1,0.0,10.0,148.0,0.0,-100.0,2039,937,1102,45.95,100.0,0.762,-4.104,4388,2.4,-98.38,0.0,-100.0,0.0,-99.99
BTC-USDT-SWAP,reversal,4H,0.002,0.008,0.015,1,0.0,10.0,148.0,0.0,-100.0,2039,978,1061,47.96,100.0,0.834,-4.104,4388,4.42,-97.01,0.0,-100.0,0.0,-99.99
BTC-USDT-SWAP,reversal,4H,0.002,0.008,0.02,1,0.0,10.0,148.0,0.0,-100.0,2039,990,1049,48.55,100.0,0.815,-4.104,4388,7.26,-95.09,0.0,-100.0,0.0,-99.99
BTC-USDT-SWAP,reversal,4H,0.002,0.008,0.025,1,0.0,10.0,148.0,0.0,-100.0,2039,991,1048,48.6,100.0,0.797,-4.104,4388,4.69,-96.83,0.0,-100.0,0.0,-99.99
BTC-USDT-SWAP,reversal,4H,0.002,0.008,0.03,1,0.0,10.0,148.0,0.0,-100.0,2039,995,1044,48.8,100.0,0.823,-4.104,4388,9.03,-93.9,0.0,-100.0,0.0,-99.99
BTC-USDT-SWAP,reversal,4H,0.002,0.01,0.01,1,0.0,10.0,148.0,0.0,-100.0,2039,849,1190,41.64,100.0,0.748,-4.104,4388,1.04,-99.3,0.0,-100.0,0.0,-100.0
BTC-USDT-SWAP,reversal,4H,0.002,0.01,0.015,1,0.0,10.0,148.0,0.0,-100.0,2039,883,1156,43.31,100.0,0.771,-4.104,4388,1.06,-99.28,0.0,-100.0,0.0,-100.0
BTC-USDT-SWAP,reversal,4H,0.002,0.01,0.02,1,0.0,10.0,148.0,0.0,-100.0,2039,894,1145,43.85,100.0,0.738,-4.104,4388,1.48,-99.0,0.0,-100.0,0.0,-100.0
BTC-USDT-SWAP,reversal,4H,0.002,0.01,0.025,1,0.0,10.0,148.0,0.0,-100.0,2039,896,1143,43.94,100.0,0.716,-4.104,4388,0.76,-99.48,0.0,-100.0,0.0,-100.0
BTC-USDT-SWAP,reversal,4H,0.002,0.01,0.03,1,0.0,10.0,148.0,0.0,-100.0,2039,900,1139,44.14,100.0,0.725,-4.104,4388,1.18,-99.2,0.0,-100.0,0.0,-100.0
BTC-USDT-SWAP,reversal,4H,0.002,0.015,0.01,1,0.0,10.0,148.0,0.0,-100.0,2039,759,1280,37.22,100.0,0.715,-4.104,4388,0.08,-99.95,0.0,-100.0,0.0,-100.0
BTC-USDT-SWAP,reversal,4H,0.002,0.015,0.015,1,0.0,10.0,148.0,0.0,-100.0,2039,795,1244,38.99,100.0,0.746,-4.104,4388,0.08,-99.95,0.0,-100.0,0.0,-100.0
BTC-USDT-SWAP,reversal,4H,0.002,0.015,0.02,1,0.0,10.0,148.0,0.0,-100.0,2039,807,1232,39.58,100.0,0.708,-4.104,4388,0.07,-99.95,0.0,-100.0,0.0,-100.0
BTC-USDT-SWAP,reversal,4H,0.002,0.015,0.025,1,0.0,10.0,148.0,0.0,-100.0,2039,810,1229,39.73,100.0,0.7,-4.104,4388,0.03,-99.98,0.0,-100.0,0.0,-100.0
BTC-USDT-SWAP,reversal,4H,0.002,0.015,0.03,1,0.0,10.0,148.0,0.0,-100.0,2039,812,1227,39.82,100.0,0.696,-4.104,4388,0.03,-99.98,0.0,-100.0,0.0,-100.0
BTC-USDT-SWAP,reversal,4H,0.002,0.02,0.01,1,0.0,10.0,148.0,0.0,-100.0,2039,737,1302,36.15,100.0,0.688,-4.104,4388,0.05,-99.96,0.0,-100.0,0.0,-100.0
BTC-USDT-SWAP,reversal,4H,0.002,0.02,0.015,1,0.0,10.0,148.0,0.0,-100.0,2039,773,1266,37.91,100.0,0.724,-4.104,4388,0.05,-99.97,0.0,-100.0,0.0,-100.0
