pair,mode,signal_bar,float_pct,tp_pct,sl_pct,confirm,min_amp,max_amp,initial,final,total_return_pct,trades,wins,losses,win_rate_pct,max_dd_pct,profit_factor,monthly_pct,n_signals,y2024_end,y2024_pnl_pct,y2025_end,y2025_pnl_pct,y2026_end,y2026_pnl_pct
BTC-USDT-SWAP,reversal,4H,0.002,0.01,0.015,1,0.0,10.0,148.0,0.0,-100.0,1537,677,860,44.05,100.0,0.771,-5.474,3289,1.06,-99.28,0.0,-100.0,0.0,-16.21
BTC-USDT-SWAP,reversal,4H,0.002,0.01,0.02,1,0.0,10.0,148.0,0.0,-100.0,1537,684,853,44.5,100.0,0.738,-5.474,3289,1.48,-99.0,0.0,-100.0,0.0,-13.22
BTC-USDT-SWAP,reversal,4H,0.002,0.01,0.025,1,0.0,10.0,148.0,0.0,-100.0,1537,684,853,44.5,100.0,0.716,-5.474,3289,0.76,-99.48,0.0,-100.0,0.0,-13.22
BTC-USDT-SWAP,reversal,4H,0.002,0.01,0.03,1,0.0,10.0,148.0,0.0,-100.0,1537,687,850,44.7,100.0,0.725,-5.474,3289,1.18,-99.2,0.0,-100.0,0.0,-13.22
BTC-USDT-SWAP,reversal,4H,0.002,0.015,0.01,1,0.0,10.0,148.0,0.0,-100.0,1537,580,957,37.74,100.0,0.715,-5.474,3289,0.08,-99.95,0.0,-100.0,0.0,-21.35
BTC-USDT-SWAP,reversal,4H,0.002,0.015,0.015,1,0.0,10.0,148.0,0.0,-100.0,1537,608,929,39.56,100.0,0.746,-5.474,3289,0.08,-99.95,0.0,-100.0,0.0,-25.83
BTC-USDT-SWAP,reversal,4H,0.002,0.015,0.02,1,0.0,10.0,148.0,0.0,-100.0,1537,616,921,40.08,100.0,0.708,-5.474,3289,0.07,-99.95,0.0,-100.0,0.0,-23.19
BTC-USDT-SWAP,reversal,4H,0.002,0.015,0.025,1,0.0,10.0,148.0,0.0,-100.0,1537,617,920,40.14,100.0,0.7,-5.474,3289,0.03,-99.98,0.0,-100.0,0.0,-23.19
BTC-USDT-SWAP,reversal,4H,0.002,0.015,0.03,1,0.0,10.0,148.0,0.0,-100.0,1537,619,918,40.27,100.0,0.696,-5.474,3289,0.03,-99.98,0.0,-100.0,0.0,-23.19
BTC-USDT-SWAP,reversal,4H,0.002,0.02,0.01,1,0.0,10.0,148.0,0.0,-100.0,1537,565,972,36.76,100.0,0.688,-5.474,3289,0.05,-99.96,0.0,-100.0,0.0,-26.32
BTC-USDT-SWAP,reversal,4H,0.002,0.02,0.015,1,0.0,10.0,148.0,0.0,-100.0,1537,591,946,38.45,100.0,0.724,-5.474,3289,0.05,-99.97,0.0,-100.0,0.0,-30.52
BTC-USDT-SWAP,reversal,4H,0.002,0.02,0.02,1,0.0,10.0,148.0,0.0,-100.0,1537,598,939,38.91,100.0,0.683,-5.474,3289,0.04,-99.97,0.0,-100.0,0.0,-28.04
BTC-USDT-SWAP,reversal,4H,0.002,0.02,0.025,1,0.0,10.0,148.0,0.0,-100.0,1537,600,937,39.04,100.0,0.677,-5.474,3289,0.02,-99.99,0.0,-100.0,0.0,-28.04
